Date,Year,OutsideDryBulb_C,CoolingThermal_kWh,ChillerLoad_kWh,CoolingElectricity_kWh,SystemFans_kWh,SystemPumps_kWh,Auxiliary_kWh,HVACElectricity_kWh,AirTemperature_C,OperativeTemperature_C,RoomElectricity_kWh,Lighting_kWh,OccupancyGains_kWh,HeatingGas_kWh,CO2_kg
2020-01-01,2020,13.40417,1537.243,1546.0,1254.389,374.4874,2.75222,0.089348,1631.717968,21.1524,21.09957,2871.59,1301.508,1376.125,2939.637,4069.074
2020-01-02,2020,14.51181,1595.006,1609.826,1307.356,374.6424,2.569082,0.064481,1684.6319629999998,21.21704,21.17925,2871.59,1309.427,1368.446,2105.999,3949.581
2020-01-03,2020,15.88403,1709.521,1715.891,1391.514,374.9421,2.188968,0.034226,1768.6792939999998,21.3195,21.3045,2871.59,1289.508,1357.245,1104.263,3800.557
2020-01-04,2020,14.25521,1469.821,1471.641,1125.694,373.6584,2.68678,0.129476,1502.168656,20.03506,20.20557,273.4755,0.0,0.0,4226.858,1868.829
2020-01-05,2020,14.22118,1104.509,1109.791,912.3229,373.6584,2.380965,0.16059,1288.522855,19.99994,19.90131,273.4755,0.0,0.0,5263.497,1933.792
2020-01-06,2020,13.37708,1226.161,1233.965,981.3025,373.6714,2.332693,0.107977,1357.41457,20.78701,20.52616,2871.59,1289.286,1418.08,3565.432,4012.813
2020-01-07,2020,17.5,2573.52,2592.688,1713.898,373.9546,3.322687,0.043063,2091.21835,21.17809,21.07192,2871.59,1319.013,1373.827,1395.871,4068.59
2020-01-08,2020,15.54826,2187.621,2209.897,1454.812,374.7917,3.963673,0.052829,1833.6202019999998,21.3491,21.35217,2871.59,1310.242,1355.933,1718.196,3967.625
2020-01-09,2020,16.78924,2381.987,2382.834,1873.013,375.3624,3.041158,0.023508,2251.440066,21.48523,21.54059,2871.59,1307.818,1340.567,756.6609,4039.01
2020-01-10,2020,14.34931,1515.184,1522.673,1229.274,374.959,2.116479,0.053029,1606.402508,21.36706,21.39216,2871.59,1310.272,1353.177,1722.336,3830.727
2020-01-11,2020,15.2625,1388.249,1398.703,1101.172,373.6584,2.216611,0.095648,1477.142659,20.04558,20.27204,273.4755,0.0,0.0,3098.633,1642.053
2020-01-12,2020,16.49306,2006.573,2011.031,1537.169,373.6584,3.03563,0.125352,1913.9883820000002,20.00059,20.00475,273.4755,0.0,0.0,4080.037,2090.854
2020-01-13,2020,16.82778,2288.584,2318.72,1880.607,373.7301,3.182403,0.051676,2257.5711789999996,21.091,20.95122,2871.59,1261.326,1381.97,1679.339,4187.608
2020-01-14,2020,12.64931,1223.677,1232.984,1013.596,373.9518,2.859316,0.091086,1390.498202,21.07055,21.02165,2871.59,1297.082,1384.126,2993.618,3930.337
2020-01-15,2020,14.76181,1120.895,1120.173,920.8576,374.0753,1.837207,0.052144,1296.822251,21.07602,21.00877,2871.59,1283.15,1382.259,1687.352,3620.123
2020-01-16,2020,15.73368,1602.564,1604.115,1318.691,374.2228,2.354991,0.049093,1695.317884,21.11391,21.05299,2871.59,1268.934,1377.431,1587.948,3834.352
2020-01-17,2020,15.45938,1727.261,1744.385,1434.002,374.4682,2.853765,0.052438,1811.376403,21.21074,21.15588,2871.59,1281.659,1367.525,1699.767,3933.367
2020-01-18,2020,12.67431,887.6179,888.1473,730.1169,373.6584,2.521194,0.152481,1106.448975,20.01932,20.13648,273.4755,0.0,0.0,4999.166,1773.877
2020-01-19,2020,12.64236,734.92,745.1951,612.6006,373.6584,2.842938,0.188741,989.2906790000001,19.99887,19.86874,273.4755,0.0,0.0,6228.084,1933.375
2020-01-20,2020,13.59306,1072.715,1075.133,883.8318,373.66,2.304673,0.104912,1259.9013850000001,20.7393,20.45845,2871.59,1308.913,1422.806,3455.051,3944.911
2020-01-21,2020,16.49722,1992.572,2003.157,1646.73,373.8292,3.296876,0.053805,2023.9098810000003,21.00594,20.85877,2871.59,1264.627,1390.234,1745.522,4060.424
2020-01-22,2020,16.7993,2170.083,2186.584,1797.52,374.0685,3.316508,0.042132,2174.9471399999998,21.13795,21.08993,2871.59,1265.198,1374.482,1360.642,4080.11
2020-01-23,2020,15.15139,1258.724,1249.568,1027.229,374.2943,2.4678,0.044391,1404.0354909999999,21.14903,21.13,2871.59,1298.568,1372.943,1432.855,3646.705
2020-01-24,2020,15.70278,1564.504,1577.776,1297.038,374.3366,2.454,0.048591,1673.877191,21.1261,21.07539,2871.59,1280.221,1377.353,1571.759,3825.163
2020-01-25,2020,14.19375,967.5193,979.8723,805.5211,373.6584,2.296328,0.116138,1181.591966,20.01717,20.16441,273.4755,0.0,0.0,3780.373,1590.817
2020-01-26,2020,13.34792,1065.717,1065.057,875.5488,373.6584,3.084468,0.184398,1252.4760660000002,19.99883,19.87825,273.4755,0.0,0.0,6079.319,2064.963
2020-01-27,2020,12.77431,620.4702,622.9003,512.066,373.6624,1.656198,0.103755,887.488353,20.74689,20.46972,2871.59,1284.922,1421.871,3406.797,3695.64
2020-01-28,2020,13.05417,830.8422,834.1193,685.7023,373.7788,1.899551,0.097944,1061.478595,20.84932,20.65056,2871.59,1276.419,1409.199,3218.54,3760.616
2020-01-29,2020,13.83194,777.1479,766.2003,629.8683,373.9389,1.362612,0.068316,1005.238128,20.9781,20.84626,2871.59,1243.039,1393.457,2222.986,3519.58
2020-01-30,2020,13.47569,990.8665,1010.878,831.0103,374.0114,2.31242,0.086471,1207.420591,20.95416,20.84956,2871.59,1336.515,1394.485,2828.88,3812.39
2020-01-31,2020,14.10382,705.3797,717.932,590.1885,374.143,1.345581,0.06024,965.7373210000001,21.01519,20.90513,2871.59,1238.389,1389.693,1953.722,3442.321
2020-02-01,2020,13.29583,356.9542,355.6609,292.3773,373.6584,2.124672,0.182813,668.343185,20.00272,20.01942,273.4755,0.0,0.0,6018.819,1699.631
2020-02-02,2020,13.63368,392.5901,381.2989,313.4534,373.6584,2.584015,0.213141,689.9089559999999,19.99114,19.72313,273.4755,0.0,0.0,7052.998,1906.671
2020-02-03,2020,14.16285,753.0765,770.7152,633.5799,373.6584,1.861559,0.090709,1009.190568,20.70705,20.38413,2871.59,1234.523,1426.781,2971.245,3657.157
2020-02-04,2020,13.82361,851.8077,850.4444,699.1226,373.7841,1.722831,0.077522,1074.707053,20.88894,20.70624,2871.59,1235.628,1404.329,2527.159,3614.237
2020-02-05,2020,14.19514,1105.958,1107.276,910.2557,373.928,1.849261,0.072383,1286.105344,20.9578,20.83031,2871.59,1238.436,1396.505,2358.354,3712.385
2020-02-06,2020,14.30417,1187.256,1194.461,981.9271,374.0396,1.8369,0.069511,1357.8731109999999,20.99542,20.89674,2871.59,1239.84,1391.474,2260.563,3738.386
2020-02-07,2020,15.99722,1729.211,1740.599,1430.889,374.2709,2.499132,0.047143,1807.7061749999998,21.12902,21.06726,2871.59,1213.609,1376.888,1525.932,3857.302
2020-02-08,2020,14.73021,1146.102,1153.777,946.9093,373.6584,2.468334,0.1109,1323.1469339999999,20.0179,20.1743,273.4755,0.0,0.0,3601.145,1642.983
2020-02-09,2020,13.92674,943.2098,950.7784,781.6039,373.6584,2.564211,0.153655,1157.9801659999998,20.00024,19.94182,273.4755,0.0,0.0,5031.303,1811.132
2020-02-10,2020,12.32049,682.5935,684.4708,562.6812,373.6656,2.00941,0.108158,938.464368,20.79206,20.55291,2871.59,1273.267,1416.47,3564.719,3749.088
2020-02-11,2020,13.02049,882.3783,878.0712,721.8337,373.8001,1.9326,0.097301,1097.6637010000002,20.85945,20.68319,2871.59,1257.233,1407.293,3188.292,3765.244
2020-02-12,2020,14.89826,1110.677,1117.833,918.9338,373.9498,1.690367,0.060852,1294.634819,20.97462,20.83286,2871.59,1285.866,1394.175,1974.606,3674.321
2020-02-13,2020,15.08438,1215.659,1225.542,1007.478,374.0859,1.879798,0.055826,1383.4995239999998,21.01023,20.91257,2871.59,1241.626,1389.217,1807.608,3670.041
2020-02-14,2020,13.11701,991.0112,1006.711,823.9001,374.1766,2.110097,0.08786,1200.2746570000002,20.97831,20.87883,2871.59,1239.799,1394.958,2880.125,3759.061
2020-02-15,2020,11.79028,206.7191,206.5806,169.8232,373.6584,1.790542,0.173737,545.4458789999999,20.00742,20.02114,273.4755,0.0,0.0,5715.894,1568.339
2020-02-16,2020,13.68403,760.2861,757.9797,623.1104,373.6584,2.739424,0.194606,999.7028300000001,19.99836,19.74854,273.4755,0.0,0.0,6420.28,1975.733
2020-02-17,2020,13.22431,291.0551,293.1371,240.9784,373.6584,1.283943,0.103895,616.024638,20.65314,20.321,2871.59,1304.395,1432.14,3408.3,3543.216
2020-02-18,2020,12.53264,333.8942,340.8542,280.2051,373.7149,1.472767,0.11275,655.505517,20.68347,20.42195,2871.59,1250.779,1429.911,3694.897,3588.404
2020-02-19,2020,12.73403,612.5868,610.1542,501.5879,373.8212,1.900181,0.107402,877.4166829999999,20.77051,20.54128,2871.59,1212.663,1419.677,3529.197,3668.705
2020-02-20,2020,14.51597,1713.227,1723.719,1279.037,373.9464,2.926488,0.09559,1656.005478,20.90014,20.73207,2871.59,1254.964,1403.638,3141.207,4093.393
2020-02-21,2020,14.32153,1003.377,1005.74,826.786,374.1477,1.88418,0.061505,1202.879385,21.00272,20.92817,2871.59,1254.896,1391.501,1995.293,3603.83
2020-02-22,2020,12.62292,282.9944,292.3464,240.3285,373.6584,1.851026,0.169861,616.007787,20.0071,20.02854,273.4755,0.0,0.0,5589.254,1587.347
2020-02-23,2020,10.92813,0.113185,0.078186,0.064274,373.6584,2.596282,0.26575,376.584706,19.98571,19.63082,273.4755,0.0,0.0,8887.274,2060.833
2020-02-24,2020,12.0125,282.6903,265.4532,218.2204,373.6584,1.716432,0.149547,593.744779,20.51873,20.09475,2871.59,1229.626,1449.591,4965.654,3776.501
2020-02-25,2020,10.03021,7.473673,10.74627,8.834154,373.6704,1.824833,0.166258,384.495645,20.57474,20.23013,2871.59,1323.599,1441.461,5524.813,3811.52
2020-02-26,2020,13.83021,1120.25,1129.293,924.5646,373.7417,2.538057,0.12105,1300.965407,20.67605,20.34565,2871.59,1251.174,1431.04,3993.564,4035.81
2020-02-27,2020,15.59757,1582.136,1592.677,1305.925,373.9226,2.246174,0.065574,1682.1593480000001,20.93775,20.74937,2871.59,1228.508,1398.476,2134.389,3904.37
2020-02-28,2020,15.74583,1623.716,1622.356,1331.812,374.1477,2.159831,0.050778,1708.1703089999999,21.06337,20.9563,2871.59,1279.177,1383.31,1643.614,3858.789
2020-03-01,2020,15.56667,1431.731,1444.887,1187.795,373.6584,2.453565,0.107399,1564.0143640000001,20.01089,20.13221,273.4755,0.0,0.0,3484.383,1767.048
2020-03-02,2020,15.91875,2436.493,2445.609,1582.563,373.6584,3.65111,0.142337,1960.0148470000001,19.99996,19.88982,273.4755,0.0,0.0,4646.599,2225.01
2020-03-03,2020,16.20799,2070.244,2098.109,1665.294,373.6888,2.786265,0.059233,2041.8282980000001,20.91362,20.7131,2871.59,1212.354,1400.76,1926.674,4073.582
2020-03-04,2020,16.51146,2008.564,2007.347,1638.596,373.9223,2.793894,0.04406,2015.3562539999998,21.07655,21.00145,2871.59,1253.643,1382.257,1424.157,3988.308
2020-03-05,2020,13.50174,449.7308,467.6031,384.4012,374.1011,1.039676,0.05534,759.597316,21.07363,21.01604,2871.59,1345.521,1379.434,1789.609,3351.541
2020-03-06,2020,12.79757,436.0574,435.0692,357.6562,374.0898,1.351147,0.084682,733.1818290000001,20.93193,20.80302,2871.59,1224.702,1397.739,2761.244,3444.557
2020-03-07,2020,14.83333,1495.616,1488.428,1205.451,374.1006,2.268881,0.083508,1581.903989,20.918,20.75305,2871.59,1265.531,1401.31,2725.805,3976.978
2020-03-08,2020,16.5441,2436.429,2449.139,1954.979,373.6584,3.369577,0.114504,2332.121481,20.00662,20.07765,273.4755,0.0,0.0,3718.899,2276.507
2020-03-09,2020,15.59826,1478.946,1498.265,1231.675,373.6584,2.996408,0.144431,1608.474239,20.00014,19.9637,273.4755,0.0,0.0,4717.699,2025.312
