zone_id,floor,area_m2,height_m,envelope_UA_W_K,capacitance_kJ_K,solar_aperture_m2,people,lighting_W_m2,equipment_W_m2,outdoor_air_L_s_person,infiltration_ACH,heat_recovery_sensible,heat_recovery_latent,fcu_kW,fan_W,occupied_start,occupied_end,weekend,input_status
Z001,0,57.52692307692308,3.5,115.05384615384617,8629.038461538463,4.602153846153847,6.385488461538462,8.0,11.73,10.0,0.2,0.0,0.0,5.752692307692309,115.05384615384617,8,17,4|5,ASSUMED_UNVERIFIED
Z002,0,57.52692307692308,3.5,115.05384615384617,8629.038461538463,4.602153846153847,6.385488461538462,8.0,11.73,10.0,0.2,0.0,0.0,5.752692307692309,115.05384615384617,8,17,4|5,ASSUMED_UNVERIFIED
Z003,0,57.52692307692308,3.5,115.05384615384617,8629.038461538463,4.602153846153847,6.385488461538462,8.0,11.73,10.0,0.2,0.0,0.0,5.752692307692309,115.05384615384617,8,17,4|5,ASSUMED_UNVERIFIED
Z004,0,57.52692307692308,3.5,115.05384615384617,8629.038461538463,4.602153846153847,6.385488461538462,8.0,11.73,10.0,0.2,0.0,0.0,5.752692307692309,115.05384615384617,8,17,4|5,ASSUMED_UNVERIFIED
Z005,0,57.52692307692308,3.5,115.05384615384617,8629.038461538463,4.602153846153847,6.385488461538462,8.0,11.73,10.0,0.2,0.0,0.0,5.752692307692309,115.05384615384617,8,17,4|5,ASSUMED_UNVERIFIED
Z006,0,57.52692307692308,3.5,115.05384615384617,8629.038461538463,4.602153846153847,6.385488461538462,8.0,11.73,10.0,0.2,0.0,0.0,5.752692307692309,115.05384615384617,8,17,4|5,ASSUMED_UNVERIFIED
Z007,0,57.52692307692308,3.5,115.05384615384617,8629.038461538463,4.602153846153847,6.385488461538462,8.0,11.73,10.0,0.2,0.0,0.0,5.752692307692309,115.05384615384617,8,17,4|5,ASSUMED_UNVERIFIED
Z008,0,57.52692307692308,3.5,115.05384615384617,8629.038461538463,4.602153846153847,6.385488461538462,8.0,11.73,10.0,0.2,0.0,0.0,5.752692307692309,115.05384615384617,8,17,4|5,ASSUMED_UNVERIFIED
Z009,0,57.52692307692308,3.5,115.05384615384617,8629.038461538463,4.602153846153847,6.385488461538462,8.0,11.73,10.0,0.2,0.0,0.0,5.752692307692309,115.05384615384617,8,17,4|5,ASSUMED_UNVERIFIED
Z010,0,57.52692307692308,3.5,115.05384615384617,8629.038461538463,4.602153846153847,6.385488461538462,8.0,11.73,10.0,0.2,0.0,0.0,5.752692307692309,115.05384615384617,8,17,4|5,ASSUMED_UNVERIFIED
Z011,0,57.52692307692308,3.5,115.05384615384617,8629.038461538463,4.602153846153847,6.385488461538462,8.0,11.73,10.0,0.2,0.0,0.0,5.752692307692309,115.05384615384617,8,17,4|5,ASSUMED_UNVERIFIED
Z012,0,57.52692307692308,3.5,115.05384615384617,8629.038461538463,4.602153846153847,6.385488461538462,8.0,11.73,10.0,0.2,0.0,0.0,5.752692307692309,115.05384615384617,8,17,4|5,ASSUMED_UNVERIFIED
Z013,0,57.52692307692308,3.5,115.05384615384617,8629.038461538463,4.602153846153847,6.385488461538462,8.0,11.73,10.0,0.2,0.0,0.0,5.752692307692309,115.05384615384617,8,17,4|5,ASSUMED_UNVERIFIED
